QUOTE;AUTHOR;GENRE
The art of being wise is the art of knowing what to overlook.;William James;art
The art of love is largely the art of persistence.;Albert Ellis;art
The moment you think you understand a great work of art, it's dead for you.;Oscar Wilde;art
It is only an auctioneer who can equally and impartially admire all schools of art.;Oscar Wilde;art
What we have to do, what at any rate it is our duty to do, is to revive the old art of Lying.;Oscar Wilde;art
The supreme art of war is to subdue the enemy without fighting.;Sun Tzu;art
A work of art is above all an adventure of the mind.;Eugene Ionesco;art
Leadership is the art of getting someone else to do something you want done because he wants to do it.;Dwight D. Eisenhower;art
The art of acting consists in keeping people from coughing.;Benjamin Franklin;art
Procrastination is the art of keeping up with yesterday.;Don Marquis;art
I think in art, but especially in films, people are trying to confirm their own existences.;Jim Morrison;art
Life is the art of drawing without an eraser.;John W. Gardner;art
Diplomacy is the art of saying 'Nice doggie' until you can find a rock.;Will Rogers;art
Admiration for a quality or an art can be so strong that it deters us from striving to possess it.;Friedrich Nietzsche;art
Homer has taught all other poets the art of telling lies skillfully.;Aristotle;art
It is Homer who has chiefly taught other poets the art of telling lies skillfully.;Aristotle;art
The art of living is more like wrestling than dancing.;Marcus Aurelius;art
When art dresses in worn-out material it is most easily recognized as art.;Friedrich Nietzsche;art
Sleeping is no mean art: for its sake one must stay awake all day.;Friedrich Nietzsche;art
Art raises its head where creeds relax.;Friedrich Nietzsche;art
The bad gains respect through imitation, the good loses it especially in art.;Friedrich Nietzsche;art
Envy is the art of counting the other fellow's blessings instead of your own.;Harold Coffin;art
Politics is the art of controlling your environment.;Hunter S. Thompson;art
Take care to sell your horse before he dies. The art of life is passing losses on.;Robert Frost;art
Next to the Word of God, the noble art of music is the greatest treasure in the world.;Martin Luther;art
She had lost the art of conversation but not, unfortunately, the power of speech.;George Bernard Shaw;art
You use a glass mirror to see your face you use works of art to see your soul.;George Bernard Shaw;art
The art of government is the organisation of idolatry.;George Bernard Shaw;art
Art washes away from the soul the dust of everyday life.;Pablo Picasso;art
Art is never finished, only abandoned.;Leonardo da Vinci;art
My goal is to be one with the music. I just dedicate my whole life to this art.;Jimi Hendrix;art
Advertising is the art of convincing people to spend money they don't have for something they don't need.;Will Rogers;art
Love isn't an emotion or an instinct - it's an art.;Mae West;art
Motivation is the art of getting people to do what you want them to do because they want to do it.;Dwight D. Eisenhower;art
Democracy is the art and science of running the circus from the monkey cage.;H. L. Mencken;art
When you create art, the world has to wait.;Will Smith;art
The art of medicine consists in amusing the patient while nature cures the disease.;Voltaire;art
To catch a husband is an art to hold him is a job.;Simone de Beauvoir;art
Rhetoric is the art of ruling the minds of men.;Plato;art
He who possesses art and science has religion he who does not possess them, needs religion.;Johann Wolfgang von Goethe;art
Originality is the fine art of remembering what you hear but forgetting where you heard it.;Laurence J. Peter;art
Music is the art of the prophets and the gift of God.;Martin Luther;art
You must not fight too often with one enemy, or you will teach him all your art of war.;Napoleon Bonaparte;art
The biggest problem with every art is by the use of appearance to create a loftier reality.;Johann Wolfgang von Goethe;art
Art is a lie that makes us realize truth.;Pablo Picasso;art
I never called my work an 'art'. It's part of show business, the business of building entertainment.;Walt Disney;art
Religion is the masterpiece of the art of animal training, for it trains people as to how they shall think.;Arthur Schopenhauer;art
Where the spirit does not work with the hand, there is no art.;Leonardo da Vinci;art
The human foot is a masterpiece of engineering and a work of art.;Leonardo da Vinci;art
It is after all the greatest art to limit and isolate oneself.;Johann Wolfgang von Goethe;art
Art is not a handicraft, it is the transmission of feeling the artist has experienced.;Leo Tolstoy;art
Art is always and everywhere the secret confession, and at the same time the immortal movement of its time.;Karl Marx;art
Art is making something out of nothing and selling it.;Frank Zappa;art
The art of being happy lies in the power of extracting happiness from common things.;Henry Ward Beecher;art
When thou art above measure angry, bethink thee how momentary is man's life.;Marcus Aurelius;art
Making money is art and working is art and good business is the best art.;Andy Warhol;art
Photography is more than a medium for factual communication of ideas. It is a creative art.;Ansel Adams;art
Art is the elimination of the unnecessary.;Pablo Picasso;art
The art of life is to know how to enjoy a little and to endure very much.;William Hazlitt;art
Tact is the art of making a point without making an enemy.;Isaac Newton;art
To array a man's will against his sickness is the supreme art of medicine.;Henry Ward Beecher;art
To my mind the old masters are not art their value is in their scarcity.;Thomas A. Edison;art
Art is the lie that enables us to realize the truth.;Pablo Picasso;art
The capacity to be puzzled is the premise of all creation, be it in art or in science.;Erich Fromm;art
Ethics is in origin the art of recommending to others the sacrifices required for cooperation with oneself.;Bertrand Russell;art
Life doesn't imitate art, it imitates bad television.;Woody Allen;art
All in the Family was intellectual it was art.;Carroll O'Connor;art
Religion is essentially the art and the theory of the remaking of man. Man is not a finished creation.;Edmund Burke;art
All great art is the work of the whole living creature, body and soul, and chiefly of the soul.;John Ruskin;art
The people who make art their business are mostly imposters.;Pablo Picasso;art
Life is not an exact science, it is an art.;Samuel Butler;art
To be able to endure odium is the first art to be learned by those who aspire to power.;Lucius Annaeus Seneca;art
If thou art a man, admire those who attempt great things, even though they fail.;Lucius Annaeus Seneca;art
No great art has ever been made without the artist having known danger.;Rainer Maria Rilke;art
The enemy of art is the absence of limitations.;Orson Welles;art
Only through art can we emerge from ourselves and know what another person sees.;Marcel Proust;art
Youth is the gift of nature, but age is a work of art.;Stanislaw Lec;art
Art never improves, but... the material of art is never quite the same.;T. S. Eliot;art
The challenge is to practice politics as the art of making what appears to be impossible, possible.;Hillary Clinton;art
Sculpture is the art of the intelligence.;Pablo Picasso;art
The art of living well and the art of dying well are one.;Epicurus;art
What is Art? It is the response of man's creative soul to the call of the Real.;Rabindranath Tagore;art
Art can never exist without naked beauty displayed.;William Blake;art
I think having land and not ruining it is the most beautiful art that anybody could ever want to own.;Andy Warhol;art
In Art, man reveals himself and not his objects.;Rabindranath Tagore;art
Art is the tree of life. Science is the tree of death.;William Blake;art
Passion is universal humanity. Without it religion, history, romance and art would be useless.;Honore de Balzac;art
Chance gives rise to thoughts, and chance removes them no art can keep or acquire them.;Blaise Pascal;art
Great art is as irrational as great music. It is mad with its own loveliness.;George Jean Nathan;art
The art of leadership is saying no, not saying yes. It is very easy to say yes.;Tony Blair;art
Life is the art of drawing sufficient conclusions from insufficient premises.;Samuel Butler;art
In seeking wisdom thou art wise in imagining that thou hast attained it - thou art a fool.;Lord Chesterfield;art
Poetry is the art of substantiating shadows, and of lending existence to nothing.;Edmund Burke;art
The great art of life is sensation, to feel that we exist, even in pain.;Lord Byron;art
It is the addition of strangeness to beauty that constitutes the romantic character in art.;Walter Hagen;art
There is nothing new in art except talent.;Anton Chekhov;art
What is art? Nature concentrated.;Honore de Balzac;art
Creative without strategy is called 'art.' Creative with strategy is called 'advertising.';Jef I. Richards;art
All things are artificial, for nature is the art of God.;Thomas Browne;art
History develops, art stands still.;E. M. Forster;art
The momentous thing in human life is the art of winning the soul to good or evil.;Francis Bacon;art
Life beats down and crushes the soul and art reminds you that you have one.;Stella Adler;art
True ease in writing comes from art, not chance, as those who move easiest have learned to dance.;Alexander Pope;art
All humanity is passion without passion, religion, history, novels, art would be ineffectual.;Honore de Balzac;art
Art has the power to transform, to illuminate, to educate, inspire and motivate.;Harvey Fierstein;art
The mother art is architecture. Without an architecture of our own we have no soul of our own civilization.;Frank Lloyd Wright;art
The art of using deceit and cunning grow continually weaker and less effective to the user.;John Tillotson;art
Really I don't like human nature unless all candied over with art.;Virginia Woolf;art
O, thou art fairer than the evening air clad in the beauty of a thousand stars.;Christopher Marlowe;art
Where thou art, that is home.;Emily Dickinson;art
To speak of morals in art is to speak of legislature in sex. Art is the sex of the imagination.;George Jean Nathan;art
I don't think about art when I'm working. I try to think about life.;Jean-Michel Basquiat;art
Politics is the art of choosing between the disastrous and the unpalatable.;John Kenneth Galbraith;art
Poetry is the art of uniting pleasure with truth.;Samuel Johnson;art
Diplomacy: the art of restraining power.;Henry A. Kissinger;art
Land really is the best art.;Andy Warhol;art
Criticism is the art of appraising others at one's own value.;George Jean Nathan;art
To do a dull thing with style-now that's what I call art.;Charles Bukowski;art
Cunning is the art of concealing our own defects, and discovering other people's weaknesses.;William Hazlitt;art
Patience is the art of hoping.;Luc de Clapiers;art
Religion and art spring from the same root and are close kin. Economics and art are strangers.;Nathaniel Hawthorne;art
There is nothing in the world of art like the songs mother used to sing.;Billy Sunday;art
Simplicity and repose are the qualities that measure the true value of any work of art.;Frank Lloyd Wright;art
Music happens to be an art form that transcends language.;Herbie Hancock;art
The true art of memory is the art of attention.;Samuel Johnson;art
It's clever, but is it Art?;Rudyard Kipling;art
The sinews of art and literature, like those of war, are money.;Samuel Butler;art
What is comedy? Comedy is the art of making people laugh without making them puke.;Steve Martin;art
Diversity: the art of thinking independently together.;Malcolm Forbes;art
The greatness of art is not to find what is common but what is unique.;Isaac Bashevis Singer;art
All nature is but art unknown to thee.;Alexander Pope;art
What garlic is to salad, insanity is to art.;Augustus Saint-Gaudens;art
My trade and art is to live.;Michel de Montaigne;art
An artist cannot speak about his art any more than a plant can discuss horticulture.;Jean Cocteau;art
Art begins in imitation and ends in innovation.;Mason Cooley;art
A work of art which did not begin in emotion is not art.;Paul Cezanne;art
Architecture is the art of how to waste space.;Philip Johnson;art
Space is the breath of art.;Frank Lloyd Wright;art
Art does not reproduce what we see rather, it makes us see.;Paul Klee;art
If thou art a master, be sometimes blind if a servant, sometimes deaf.;Thomas Fuller;art
Art is an attempt to integrate evil.;Simone de Beauvoir;art
A work of art that contains theories is like an object on which the price tag has been left.;Alexander Pope;art
The sadness of the incomplete, the sadness that is often Life, but should never be Art.;E. M. Forster;art
Every work of art is an uncommitted crime.;Theodor Adorno;art
One science only will one genius fit so vast is art, so narrow human wit.;Alexander Pope;art
There is no prejudice that the work of art does not finally overcome.;Andre Gide;art
The wealthy are always surrounded by hangers-on science and art are as well.;Anton Chekhov;art
Like music and art, love of nature is a common language that can transcend political or social boundaries.;Jimmy Carter;art
'Healing,' Papa would tell me, 'is not a science, but the intuitive art of wooing nature.';W. H. Auden;art
The first mistake of art is to assume that it's serious.;Lester Bangs;art
Lying just for the fun of it is either art or pathology.;Mason Cooley;art
Evil is committed without effort, naturally, fatally goodness is always the product of some art.;Charles Baudelaire;art
The effort of art is to keep what is interesting in existence, to recreate it in the eternal.;George Santayana;art
In life, as in art, the beautiful moves in curves.;Edward G. Bulwer-Lytton;art
Logic is neither an art nor a science but a dodge.;Stendhal;art
The excellency of every art is its intensity, capable of making all disagreeable evaporate.;John Keats;art
Let each man exercise the art he knows.;Aristophanes;art
Emotion resulting from a work of art is only of value when it is not obtained by sentimental blackmail.;Jean Cocteau;art
All good art is an indiscretion.;Tennessee Williams;art
Great art is the contempt of a great man for small art.;F. Scott Fitzgerald;art
Gossip is the art of saying nothing in a way that leaves practically nothing unsaid.;Walter Winchell;art
Errors are not in the art but in the artificers.;Isaac Newton;art
Art is the objectification of feeling.;Herman Melville;art
The sole art that suits me is that which, rising from unrest, tends toward serenity.;Andre Gide;art
Art is the collaboration between God and the artist, and the less the artist does the better.;Andre Gide;art
Politics is not the art of the possible. It consists in choosing between the disastrous and the unpalatable.;John Kenneth Galbraith;art
Art has to move you and design does not, unless it's a good design for a bus.;David Hockney;art
The art of creation is older than the art of killing.;Edward Koch;art
The best part of the art of living is to know how to grow old gracefully.;Eric Hoffer;art
Every science begins as philosophy and ends as art.;Will Durant;art
The love of all-inclusiveness is as dangerous in philosophy as in art.;George Santayana;art
If you are going to break a Law of Art, make the crime interesting.;Mason Cooley;art
The art of pleasing consists in being pleased.;William Hazlitt;art
Wherever the art of medicine is loved, there is also a love of humanity.;Hippocrates;art
The counterfeit and counterpart of Nature is reproduced in art.;Henry Wadsworth Longfellow;art
The most seductive thing about art is the personality of the artist himself.;Paul Cezanne;art
You want to be a bit compulsive in your art or craft or whatever you do.;Steve Martin;art
Most works of art, like most wines, ought to be consumed in the district of their fabrication.;Simone Weil;art
People believe that photographs are true and therefore cannot be art.;Mason Cooley;art
Art seduces, but does not exploit.;Mason Cooley;art
Film will only became an art when its materials are as inexpensive as pencil and paper.;Jean Cocteau;art
In art and dream may you proceed with abandon. In life may you proceed with balance and stealth.;Patti Smith;art
An art which isn't based on feeling isn't an art at all.;Paul Cezanne;art
Art gives me the freedom I don't have when I make music.;Marilyn Manson;art
The idea is, if I can't heal from my art, then how can you heal?;Maynard James Keenan;art
Riding a race bike is an art - a thing that you do because you feel something inside.;Valentino Rossi;art
I try to keep a low profile in general. Not with my art, but just as a person.;Alanis Morissette;art
In general it can be said that a nation's art is greatest when it most reflects the character of its people.;Edward Hopper;art
What is art? Prostitution.;Charles Baudelaire;art
Art is not what you see, but what you make others see.;Edgar Degas;art
I don't have anything to say about other people's art and their work.;Dolly Parton;art
Patience is the art of concealing your impatience.;Guy Kawasaki;art
For his heart was in his work, and the heart giveth grace unto every art.;Henry Wadsworth Longfellow;art
Resolve and thou art free.;Henry Wadsworth Longfellow;art
Art is a harmony parallel with nature.;Paul Cezanne;art
I do not want art for a few any more than education for a few, or freedom for a few.;William Morris;art
Egotism: The art of seeing in yourself what others cannot see.;George V. Higgins;art
A work of art has no importance whatever to society. It is only important to the individual.;Vladimir Nabokov;art
Art is anything you can get away with.;Marshall McLuhan;art
Nature scarcely ever gives us the very best for that we must have recourse to art.;Baltasar Gracian;art
To say nothing, especially when speaking, is half the art of diplomacy.;Will Durant;art
The question of the value of nationality in art is perhaps unsolvable.;Edward Hopper;art
Life is short, the art long.;Hippocrates;art
Everything that has ever been called folk art has always reflected domination.;Theodor Adorno;art
My age and health will never allow me to realize the dream of art I've been pursuing all my life.;Paul Cezanne;art
Don't be an art critic. Paint. There lies salvation.;Paul Cezanne;art
It is not in life, but in art that self-fulfillment is to be found.;Wilson Mizner;art
Art lies by its own artifice.;Ovid;art
Art and works of art do not make an artist sense and enthusiasm and instinct do.;Karl Wilhelm Friedrich Schlegel;art
The art challenges the technology, and the technology inspires the art.;John Lasseter;art
Art is so subjective, and people can react however they want.;Jennifer Aniston;art
Since obscenity is the truth of our passion today, it is the only stuff of art - or almost the only stuff.;David Herbert Lawrence;art
I am more a friend of art than a producer of painting.;Paul Cezanne;art
I have nothing to hide in art. The initial force alone can bring anyone to the end he must attain.;Paul Cezanne;art
Is art really the priesthood that demands the pure in heart who belong to it wholly?;Paul Cezanne;art
A frenzied passion for art is a canker that devours everything else.;Charles Baudelaire;art
Evil is done without effort, naturally, it is the working of fate good is always the product of an art.;Charles Baudelaire;art
I didn't grow up thinking of movies as film, or art, but as movies, something to do on a Saturday afternoon.;Sydney Pollack;art
The art of living is the art of knowing how to believe lies.;Cesare Pavese;art
Any authentic work of art must start an argument between the artist and his audience.;Rebecca West;art
It was Public Art, defined as art that is purchased by experts who are not spending their own personal money.;Dave Barry;art
Advertising is fundamentally persuasion and persuasion happens to be not a science, but an art.;William Bernbach;art
I would no more quarrel with a man because of his religion than I would because of his art.;Mary Baker Eddy;art
Poor Georgia O'Keeffe. Death didn't soften the opinions of the art world toward her paintings.;Jerry Saltz;art
I've always said that an art critic can put aside politics around art.;Jerry Saltz;art
Megacollectors suppose they can enter art history by spending astronomical amounts.;Jerry Saltz;art
The art gods cooked up something special for James Ensor.;Jerry Saltz;art
All art comes from other art, and all immigrants come from other places.;Jerry Saltz;art
When art wins, everyone wins.;Jerry Saltz;art
I have a soft spot for art that, in terms of subject matter and material, is in bad taste.;Jerry Saltz;art
Art is changing. Again. Here. Now. Opportunities to witness this are rare, so attend and observe.;Jerry Saltz;art
Art is good, bad, boring, ugly, useful to us or not.;Jerry Saltz;art
Recessions are hard on people, but they are not hard on art.;Jerry Saltz;art
I like that the art world isn't regulated.;Jerry Saltz;art
The art world is molting - some would say melting. Galleries are closing museums are scaling back.;Jerry Saltz;art
Money is something that can be measured art is not. It's all subjective.;Jerry Saltz;art
Contrary to popular opinion, things don't go stale particularly fast in the art world.;Jerry Saltz;art
Art usually only makes the news in America when the subject is money.;Jerry Saltz;art
I hate art auctions.;Jerry Saltz;art
Art is a marriage of the conscious and the unconscious.;Jean Cocteau;art
I don't listen to what art critics say. I don't know anybody who needs a critic to find out what art is.;Jean-Michel Basquiat;art
Once you take yourself too seriously the art will suffer.;Maynard James Keenan;art
Politics is the art of preventing people from busying themselves with what is their own business.;Paul Valery;art
Art is not a pastime but a priesthood.;Jean Cocteau;art
Irresponsibility is part of the pleasure of all art it is the part the schools cannot recognize.;James Joyce;art
As in nature, as in art, so in grace it is rough treatment that gives souls, as well as stones, their luster.;Thomas Guthrie;art
The art of writing is the art of discovering what you believe.;Gustave Flaubert;art
Art requires neither complaisance nor politeness nothing but faith, faith and freedom.;Gustave Flaubert;art
The only way to avoid being unhappy is to close yourself up in Art and to count for nothing all the rest.;Gustave Flaubert;art
The cult of art gives pride one never has too much of it.;Gustave Flaubert;art
I do not regard advertising as entertainment or an art form, but as a medium of information.;David Ogilvy;art
Love the art in yourself and not yourself in the art.;Constantin Stanislavski;art
Art and science have their meeting point in method.;Edward G. Bulwer-Lytton;art
Flirting is the gentle art of making a man feel pleased with himself.;Helen Rowland;art
A nation devoid of art and artists cannot have a full existence.;Kemal Ataturk;art
It's an art to live with pain... mix the light into gray.;Eddie Vedder;art
Art is born of humiliation.;W. H. Auden;art
Art is much less important than life, but what a poor life without it.;Robert Motherwell;art
I got my diploma from Ealing College of Art, in graphics and illustration.;Freddie Mercury;art
Diplomacy, n. is the art of letting somebody else have your way.;David Frost;art
In mathematics the art of proposing a question must be held of higher value than solving it.;Georg Cantor;art
Poetry is a beautiful way of spoiling prose, and the laborious art of exchanging plain sense for harmony.;Horace Walpole;art
Music is God's gift to man, the only art of Heaven given to earth, the only art of earth we take to Heaven.;Walter Savage Landor;art
The public history of modern art is the story of conventional people not knowing what they are dealing with.;Golda Meir;art
I think art is inherently nonviolent and it actually occupies your mind with creation rather than destruction.;Anthony Kiedis;art
Who would dare assign to art the sterile function of imitating nature?;Charles Baudelaire;art
Art! Who comprehends her? With whom can one consult concerning this great goddess?;Ludwig van Beethoven;art
Black literature is taught as sociology, as tolerance, not as a serious, rigorous art form.;Toni Morrison;art
Art is always criticized and always an outsider gets the blame.;Ville Valo;art
Medicine is a science of uncertainty and an art of probability.;William Osler;art
Art saved me it got me through my depression and self-loathing, back to a place of innocence.;Jeanette Winterson;art
Art attracts us only by what it reveals of our most secret self.;Alfred North Whitehead;art
I don't believe in art. I believe in artists.;Marcel Duchamp;art
Art is like a border of flowers along the course of civilization.;Lincoln Steffens;art
The art of pleasing is the art of deception.;Luc de Clapiers;art
Football is an art, like dancing is an art - but only when it's well done does it become an art.;Arsene Wenger;art
It is from the womb of art that criticism was born.;Charles Baudelaire;art
Art is not living. It is the use of living.;Audre Lorde;art
The work of art is a scream of freedom.;Christo;art
The body is your instrument in dance, but your art is outside that creature, the body.;Martha Graham;art
Education is the art of making man ethical.;Georg Wilhelm Friedrich Hegel;art
Modesty: the gentle art of enhancing your charm by pretending not to be aware of it.;Oliver Herford;art
I don't watch television, I think it destroys the art of talking about oneself.;Stephen Fry;art
All good criticism should be judged the way art is. You shouldn't read it the way you read history or science.;Leslie Fiedler;art
A Bachelor of Arts is one who makes love to a lot of women, and yet has the art to remain a bachelor.;Helen Rowland;art
Film in the 20th century, it's the American art form, like jazz.;Martin Scorsese;art
Nature is the art of God.;Dante Alighieri;art
I don't think there is such a thing as being too raunchy when it comes to the art form of burlesque.;Christina Aguilera;art
Animation is not the art of drawings that move but the art of movements that are drawn.;Norman McLaren;art
The smart thing in the art world is to have one good idea and never have another.;Brian Eno;art
The prerequisite of originality is the art of forgetting, at the proper moment, what we know.;Arthur Koestler;art
Art is Art. Everything else is everything else.;Ad Reinhardt;art
All art constantly aspires towards the condition of music.;Walter Pater;art
I've got tonnes of aboriginal and Native American art, but I'd like even more.;Tori Amos;art
I don't want life to imitate art. I want life to be art.;Ernst Fischer;art
I think most art comes out of poverty and hard times.;Willie Nelson;art
Your talent is your art. It is not to be taken for granted.;Paula Abdul;art
Our individual lives cannot, generally, be works of art unless the social order is also.;Charles Horton Cooley;art
Reason clears and plants the wilderness of the imagination to harvest the wheat of art.;Austin O'Malley;art
Censorship is to art as lynching is to justice.;Henry Louis Gates;art
I have discovered the art of deceiving diplomats. I tell them the truth and they never believe me.;Camillo di Cavour;art
Art is the most passionate orgy within man's grasp.;John Donne;art
Art cannot result from sophisticated, frivolous, or superficial effects.;Hans Hofmann;art
It's an honor putting art above politics. Politics can be seductive in terms of things reductive to the soul.;Robert Redford;art
I'm not interested in pop art.;Billy Corgan;art
Wit as an instrument of revenge is as infamous as art is as a means of sensual titillation.;Karl Wilhelm Friedrich Schlegel;art
People of art should never get married and have children, because it's a selfish experience.;Mikhail Baryshnikov;art
Rule of art: Cant kills creativity!;Camille Paglia;art
And I have exposed myself to art so that my work has something beyond just the usual potter.;Beatrice Wood;art
Originality is the art of concealing your source.;Franklin P. Jones;art
The strangeness will wear off and I think we will discover the deeper meanings in modern art.;Jackson Pollock;art
I don't need the money, dear. I work for art.;Maria Callas;art
When hospitality becomes an art it loses its very soul.;Max Beerbohm;art
A verbal art like poetry is reflective it stops to think. Music is immediate, it goes on to become.;W. H. Auden;art
Art is our chief means of breaking bread with the dead.;W. H. Auden;art
The art of interpretation is not to play what is written.;Pablo Casals;art
Art is the signature of civilizations.;Beverly Sills;art
Surrealism: An archaic term. Formerly an art movement. No longer distinguishable from everyday life.;Brad Holland;art
I try to give people a different way of looking at their surroundings. That's art to me.;Maya Lin;art
Translation is the art of failure.;Umberto Eco;art
Life is very nice, but it lacks form. It's the aim of art to give it some.;Jean Anouilh;art
Raising children is a creative endeavor, an art rather than a science.;Bruno Bettelheim;art
Success and the art of making music are two different things for me.;Norah Jones;art
People criticized me for my photography. They said it's not art.;David Hockney;art
I always feel like the art's there and I just see it, so it's not really a lot of work.;Damien Hirst;art
I went to art school actually when I was sixteen years old.;David Hockney;art
Real popular culture is folk art - coalminers' songs and so forth.;Noam Chomsky;art
Art is vice. You don't marry it legitimately, you rape it.;Edgar Degas;art
Controversy is part of the nature of art and creativity.;Yoko Ono;art
Life is like art. You have to work hard to keep it simple and still have meaning.;Charles de Lint;art
Ability is the art of getting credit for all the home runs somebody else hits.;Casey Stengel;art
Interpretation is the revenge of the intellectual upon art.;Susan Sontag;art
To me, art supplies are always okay to buy.;Louis C. K.;art
Art is something to be proud of. Art is no compromise.;Christian Bale;art
Courage is the art of being the only one who knows you're scared to death.;Earl Wilson;art
The new job of art is to sit on the wall and get more expensive.;Robert Hughes;art
Art must take reality by surprise.;Francoise Sagan;art
I have a small house so I borrow everything except art, that's what I love.;Salma Hayek;art
I owe much to mother. She had an expert's understanding, but also approached art emotionally.;David Rockefeller;art
Art is the concrete representation of our most subtle feelings.;Agnes Martin;art
If you cannot learn to love real art at least learn to hate sham art.;William Morris;art
Literature flourishes best when it is half a trade and half an art.;William Ralph Inge;art
The art of storytelling is reaching its end because the epic side of truth, wisdom, is dying out.;Walter Benjamin;art
Art evokes the mystery without which the world would not exist.;Rene Magritte;art
All I owe the world is my art.;Sherman Alexie;art
Art is dangerous. It is one of the attractions: when it ceases to be dangerous you don't want it.;Duke Ellington;art
When the bright angel dominates, out comes a great work of art, a Michelangelo David or a Beethoven symphony.;Madeleine L'Engle;art
More than art, more than literature, music is universally accessible.;Billy Joel;art
If only life could be a little more tender and art a little more robust.;Alan Rickman;art
Seek art from every time and place, in any form, to connect with those who really move you.;Martha Beck;art
There's no being wrong in seeing something in art, only being disagreed with.;Jonathan Safran Foer;art
I think good art does come from a dark place.;Rick Springfield;art
I think of art as the highest level of creativity. To me, it is one of the greatest sources of enjoyment.;David Rockefeller;art
Literature has drawn a funny perimeter that other art forms haven't.;Jonathan Safran Foer;art
Reading is an art form, and every man can be an artist.;Edwin Louis Cole;art
What I'm doing is art - it's low-brow art but there's a magic in that.;Kesha;art
Art allows people a way to dream their way out of their struggle.;Russell Simmons;art
I realize that every picture isn't a work of art.;Conrad Hall;art
I view art as an inspirational tool.;Thomas Kincade;art
What is art but a way of seeing?;Saul Bellow;art
Any fool can have bad luck the art consists in knowing how to exploit it.;Frank Wedekind;art
Good art provides people with a vocabulary about things they can't articulate.;Mos Def;art
Art may imitate life, but life imitates TV.;Ani DiFranco;art
I've sort of escaped my background, as people often do, through art and culture.;Danny Boyle;art
The art of the parenthesis is one of the greatest secrets of eloquence in Society.;Nicolas Chamfort;art
The worst state of affairs is when science begins to concern itself with art.;Paul Klee;art
I was the hero of the young insurgent working class art movement.;Elia Kazan;art
Thou art my single day, God lends to leaven What were all earth else, with a feel of heaven.;Robert Browning;art
The art of being sick is not the same as the art of getting well.;Tony Snow;art
Poetry is emotion put into measure. The emotion must come by nature, but the measure can be acquired by art.;Thomas Hardy;art
The art of communication is the language of leadership.;James Humes;art
I love to collect modern art.;Maria Sharapova;art
Any work that aspires, however humbly, to the condition of art should carry its justification in every line.;Joseph Conrad;art
When thou art at Rome, do as they do at Rome.;Miguel de Cervantes;art
Rock isn't art, it's the way ordinary people talk.;Billy Idol;art
Tell me thy company, and I'll tell thee what thou art.;Miguel de Cervantes;art
Art is nature speeded up and God slowed down.;Malcolm De Chazal;art
Magic becomes art when it has nothing to hide.;Ben Okri;art
Science is spectral analysis. Art is light synthesis.;Karl Kraus;art
My first love is art, and I see a lot of things in an artistic way.;Robert Carlyle;art
A compromise is the art of dividing a cake in such a way that everyone believes he has the biggest piece.;Ludwig Erhard;art
Wushu is a move in Chinese, a physical move. An attack. Wushu is like an art.;Jet Li;art
Weakness of attitude becomes weakness of character.;Albert Einstein;attitude
Attitude is a little thing that makes a big difference.;Winston Churchill;attitude
Your attitude, not your aptitude, will determine your altitude.;Zig Ziglar;attitude
Morality is simply the attitude we adopt towards people whom we personally dislike.;Oscar Wilde;attitude
It is not the body's posture, but the heart's attitude that counts when we pray.;Billy Graham;attitude
People may hear your words, but they feel your attitude.;John C. Maxwell;attitude
But the attitude of faith is to let go, and become open to truth, whatever it might turn out to be.;Alan Watts;attitude
Character is the result of two things: mental attitude and the way we spend our time.;Elbert Hubbard;attitude
Our attitude towards others determines their attitude towards us.;Earl Nightingale;attitude
Adopting the right attitude can convert a negative stress into a positive one.;Hans Selye;attitude
Take the attitude of a student, never be too big to ask questions, never know too much to learn something new.;Og Mandino;attitude
The reactionary is always willing to take a progressive attitude on any issue that is dead.;Theodore Roosevelt;attitude
Cock your hat - angles are attitudes.;Frank Sinatra;attitude
When you pray for anyone you tend to modify your personal attitude toward him.;Norman Vincent Peale;attitude
My attitude is, if someone's going to criticize me, tell me to my face.;Simon Cowell;attitude
Having a positive mental attitude is asking how something can be done rather than saying it can't be done.;Bo Bennett;attitude
The meaning of things lies not in the things themselves, but in our attitude towards them.;Antoine de Saint-Exupery;attitude
Pink isn't just a color, it's an attitude!;Miley Cyrus;attitude
The remarkable thing is, we have a choice everyday regarding the attitude we will embrace for that day.;Charles R. Swindoll;attitude
A positive attitude can really make dreams come true - it did for me.;David Bailey;attitude
Good humor is one of the best articles of dress one can wear in society.;William Makepeace Thackeray;attitude
When you are thwarted, it is your own attitude that is out of order.;Meister Eckhart;attitude
I think it's my adventure, my trip, my journey, and I guess my attitude is, let the chips fall where they may.;Leonard Nimoy;attitude
Bad attitudes will ruin your team.;Terry Bradshaw;attitude
For success, attitude is equally as important as ability.;Walter Scott;attitude
Great effort springs naturally from great attitude.;Pat Riley;attitude
Attitudes are more important than facts.;George MacDonald;attitude
Attitude is everything.;Diane von Furstenberg;attitude
Attitude determines the altitude of life.;Edwin Louis Cole;attitude
Our attitude toward life determines life's attitude towards us.;John N. Mitchell;attitude
But my attitude about it is I have miles to go before I sleep.;Peabo Bryson;attitude
The attitude is very important. Because, your behavior radiates how you feel.;Lou Ferrigno;attitude
When you ain't got no money, you gotta get an attitude.;Richard Pryor;attitude
